"place_id","place_name","image_url"
126,"Se Cathedral","/images/places/se-cathedral.jpg"
127,"Fort Aguada","/images/places/fort-aguada.jpg"
128,"Chapora Fort","/images/places/chapora-fort.jpg"
129,"Dudhsagar Falls","/images/places/dudhsagar-falls.jpg"
130,"Panjim (Panaji)","/images/places/panjim-panaji.jpg"
131,"Fontainhas","/images/places/fontainhas.jpg"
132,"Dona Paula","/images/places/dona-paula.jpg"
133,"Salim Ali Bird Sanctuary","/images/places/salim-ali-bird-sanctuary.jpg"
134,"Reis Magos Fort","/images/places/reis-magos-fort.jpg"
135,"Miramar Beach","/images/places/miramar-beach.jpg"
136,"Grand Island","/images/places/grand-island.jpg"
137,"Shri Mangueshi Temple","/images/places/shri-mangueshi-temple.jpg"
138,"Statue of Unity","/images/places/statue-of-unity.jpg"
139,"Ahmedabad","/images/places/ahmedabad.jpg"
140,"Rann of Kutch","/images/places/rann-of-kutch.jpg"
141,"White Rann","/images/places/white-rann.jpg"
142,"Gir National Park","/images/places/gir-national-park.jpg"
143,"Somnath Temple","/images/places/somnath-temple.jpg"
144,"Dwarkadhish Temple","/images/places/dwarkadhish-temple.jpg"
145,"Dwarka","/images/places/dwarka.jpg"
146,"Sabarmati Ashram","/images/places/sabarmati-ashram.jpg"
147,"Modhera Sun Temple","/images/places/modhera-sun-temple.jpg"
148,"Rani ki Vav","/images/places/rani-ki-vav.png"
149,"Champaner-Pavagadh Archaeological Park","/images/places/champaner-pavagadh-archaeological-park.jpg"
150,"Junagadh","/images/places/junagadh.jpg"
151,"Girnar","/images/places/girnar.jpg"
152,"Dholavira","/images/places/dholavira.jpg"
153,"Lakhpat","/images/places/lakhpat.jpg"
154,"Saputara","/images/places/saputara.jpg"
155,"Marine National Park","/images/places/marine-national-park.jpg"
156,"Adalaj Stepwell","/images/places/adalaj-stepwell.jpg"
157,"Velavadar Blackbuck National Park","/images/places/velavadar-blackbuck-national-park.jpg"
158,"Gurugram","/images/places/gurugram.jpg"
159,"Kurukshetra","/images/places/kurukshetra.jpg"
160,"Brahma Sarovar","/images/places/brahma-sarovar.jpg"
161,"Jyotisar","/images/places/jyotisar.jpg"
162,"Sultanpur National Park","/images/places/sultanpur-national-park.jpg"
164,"Morni Hills","/images/places/morni-hills.jpg"
165,"Surajkund","/images/places/surajkund.jpg"
166,"Faridabad","/images/places/faridabad.jpg"
167,"Panipat","/images/places/panipat.jpg"
168,"Panipat Museum","/images/places/panipat-museum.jpg"
169,"Sheikh Chilli's Tomb","/images/places/sheikh-chillis-tomb.jpg"
170,"Raja Nahar Singh Palace","/images/places/raja-nahar-singh-palace.jpg"
171,"Rewari Heritage Steam Loco Museum","/images/places/rewari-heritage-steam-loco-museum.jpg"
172,"Badkhal Lake","/images/places/badkhal-lake.jpg"
174,"Bhindawas Wildlife Sanctuary","/images/places/bhindawas-wildlife-sanctuary.jpg"
175,"Hisar","/images/places/hisar.jpg"
176,"Agroha Dham","/images/places/agroha-dham.jpg"
177,"Kabuli Bagh Mosque","/images/places/kabuli-bagh-mosque.jpg"
178,"Shimla","/images/places/shimla.jpg"
179,"Manali","/images/places/manali.jpg"
180,"Dharamshala","/images/places/dharamshala.jpg"
181,"McLeod Ganj","/images/places/mcleod-ganj.jpg"
182,"Dalhousie","/images/places/dalhousie.jpg"
183,"Kullu","/images/places/kullu.jpg"
184,"Kasol","/images/places/kasol.jpg"
185,"Kinnaur","/images/places/kinnaur.jpg"
186,"Spiti Valley","/images/places/spiti-valley.jpg"
187,"Rohtang Pass","/images/places/rohtang-pass.jpg"
188,"Solang Valley","/images/places/solang-valley.jpg"
189,"Manikaran","/images/places/manikaran.jpg"
190,"Khajjiar","/images/places/khajjiar.jpg"
191,"Chail","/images/places/chail.jpg"
192,"Kufri","/images/places/kufri.jpg"
193,"Kasauli","/images/places/kasauli.jpg"
194,"Tirthan Valley","/images/places/tirthan-valley.jpg"
195,"Key Monastery","/images/places/key-monastery.jpg"
196,"Chandratal Lake","/images/places/chandratal-lake.jpg"
197,"Kalpa","/images/places/kalpa.jpg"
198,"Ranchi","/images/places/ranchi.jpg"
199,"Dassam Falls","/images/places/dassam-falls.jpg"
200,"Hundru Falls","/images/places/hundru-falls.jpg"
201,"Jonha Falls","/images/places/jonha-falls.jpg"
202,"Netarhat","/images/places/netarhat.jpg"
203,"Betla National Park","/images/places/betla-national-park.jpg"
204,"Deoghar","/images/places/deoghar.jpg"
205,"Baidyanath Dham","/images/places/baidyanath-dham.jpg"
206,"Parasnath Hills","/images/places/parasnath-hills.jpg"
207,"Shikharji","/images/places/shikharji.jpg"
208,"Hazaribagh","/images/places/hazaribagh.jpg"
209,"Hazaribagh National Park","/images/places/hazaribagh-national-park.jpg"
